YEAR,DOUBLE-DEBT-DRAWDOWN,PAYMENTS-DOUBLE-DEBT-FRANCS,PAYMENTS-INDEMNITY,PAYMENTS-PRINCIPAL-INTEREST-1825-LOAN,LATE-FEES,CONSUMER-PRICE-INDEX-USD,EXCHANGE-RATE-FRANC-TO-USD,HAITI-HISTORICAL-GDP ,DOUBLE-DEBT-IN-2021-USD
1825,"156,000,000.00",0,0,0,,34,5.43,"10,201,098.53",0
1826,"150,700,000.00","5,300,000.00","5,300,000.00",0,,34,5.43,"9,113,571.36","23,376,611.42"
1827,"150,700,000.00",0,0,0,,34,5.43,"10,439,412.13",0
1828,"150,700,000.00",0,0,0,,33,5.43,"10,181,625.88",0
1829,"150,700,000.00",0,0,0,,32,5.43,"9,682,777.84",0
1830,"150,700,000.00",0,0,0,,32,5.24,"10,183,620.03",0
1831,"151,528,000.00","828,000.00",0,"828,000.00",,32,5.24,"10,342,440.93","4,020,994.75"
1832,"150,528,000.00","1,828,000.00",0,"1,828,000.00",,30,5.24,"10,613,747.52","9,469,086.51"
1833,"149,473,000.00","1,355,500.00",0,"1,355,500.00",,29,5.24,"10,368,060.50","7,263,646.03"
1834,"148,418,000.00","1,355,500.00",0,"1,355,500.00",,30,5.24,"12,123,449.18","7,021,524.49"
1835,"144,963,000.00","3,755,500.00",0,"3,755,500.00",,31,5.24,"11,981,762.39","18,826,050.54"
1836,"143,080,000.00","527,500.00",0,"527,500.00",,33,5.24,"12,594,480.01","2,484,057.66"
1837,"142,025,000.00","527,500.00",0,"527,500.00",,34,5.24,"9,725,284.91","2,410,997.14"
1838,"78,830,000.00","3,387,500.00","1,500,000.00","1,887,500.00",,32,5.24,"11,430,840.29","16,450,627.68"
1839,"76,223,996.67","2,809,163.33","1,733,333.33","1,075,830.00",,32,5.24,"10,744,994.23","13,642,066.43"
1840,"70,077,113.34","6,436,113.33","1,733,333.33","4,702,780.00",,30,5.22,"10,609,888.47","33,466,967.33"
1841,"67,619,690.00","2,833,023.34","1,733,333.34","1,099,690.00",,31,5.22,"10,928,192.70","14,256,154.40"
1842,"64,661,210.00","3,270,210.00","1,500,000.00","1,770,210.00",,29,5.22,"11,049,821.11","17,591,042.43"
1843,"64,307,000.00",0,0,0,,28,5.22,"10,880,736.91",0
1844,"62,707,000.00","1,600,000.00","1,600,000.00",0,,28,5.22,"11,131,904.92","8,914,066.78"
1845,"62,707,000.00",0,0,0,,28,5.22,"11,185,891.64",0
1846,"62,707,000.00",0,0,0,,27,5.22,"11,158,527.96",0
1847,"62,707,000.00",0,0,0,,28,5.22,"12,539,050.30",0
1848,"62,651,000.00","56,000.00",0,"56,000.00",,26,5.22,"12,060,168.03","335,991.75"
1849,"62,651,000.00",0,0,0,,25,5.22,"11,610,215.19",0
1850,"62,651,000.00",0,0,0,,25,5.21,"13,466,240.67",0
1851,"61,364,689.01","1,286,310.99","1,286,310.99",0,,25,5.21,"14,435,608.67","8,041,789.17"
1852,"59,251,000.00","2,113,689.01","2,113,689.01",0,,25,5.21,"14,436,056.71","13,214,410.45"
1853,"57,551,000.00","1,700,000.00","1,700,000.00",0,,25,5.21,"14,576,594.78","10,628,099.81"
1854,"56,073,610.00","2,178,610.00","1,700,000.00","478,610.00",,27,5.21,"15,062,095.52","12,611,375.01"
1855,"52,355,000.00","4,400,000.00","3,600,000.00","800,000.00",,28,5.21,"13,696,750.83","24,560,734.85"
1856,"50,271,000.00","2,600,000.00","1,800,000.00","800,000.00",,27,5.21,"14,811,305.98","15,050,686.00"
1857,"48,187,000.00","2,600,000.00","1,800,000.00","800,000.00",,28,5.21,"17,450,304.77","14,513,161.50"
1858,"46,103,000.00","2,600,000.00","1,800,000.00","800,000.00",,26,5.21,"17,304,226.61","15,629,558.54"
1859,"43,419,000.00","3,200,000.00","2,400,000.00","800,000.00",,27,5.21,"15,936,206.55","18,523,921.23"
1860,"40,733,000.00","3,200,000.00","2,400,000.00","800,000.00",,27,5.18,"16,936,736.82","18,631,202.63"
1861,"38,048,000.00","3,200,000.00","2,400,000.00","800,000.00",,27,5.18,"13,868,327.95","18,631,202.63"
1862,"35,363,000.00","3,200,000.00","2,400,000.00","800,000.00",,30,5.18,"16,379,646.75","16,768,082.37"
1863,"32,678,000.00","3,200,000.00","2,400,000.00","800,000.00",,37,5.18,"20,779,499.36","13,595,742.46"
1864,"29,395,000.00","3,800,000.00","3,000,000.00","800,000.00",,47,5.18,"16,490,712.86","12,709,849.67"
1865,"26,109,000.00","3,800,000.00","3,000,000.00","800,000.00",,46,5.18,"16,937,576.00","12,986,150.75"
1866,"22,730,192.20","3,204,895.80","2,930,351.80","274,544.00",,44,5.18,"19,812,021.99","11,450,274.88"
1867,"22,626,192.20","274,544.00",0,"274,544.00",,42,5.18,"17,571,220.61","1,027,584.02"
1868,"20,987,349.49","1,809,386.71","1,534,842.71","274,544.00",,40,5.18,"19,433,572.25","7,110,924.70"
1869,"20,882,349.49","275,544.00",0,"275,544.00",,40,5.18,"18,209,189.34","1,082,893.24"
1870,"20,777,349.49","275,544.00",0,"275,544.00",,38,5.18,"19,383,785.24","1,139,887.62"
1871,"19,311,160.00","1,773,965.49","1,534,805.49","239,160.00",,36,5.18,"18,913,320.90","7,746,354.02"
1872,"16,669,900.00","3,597,900.00","3,000,000.00","597,900.00",,36,5.18,"17,229,884.85","15,710,907.18"
1873,"14,360,676.35","2,410,676.35","1,600,000.00","700,160.00","110,516.35",36,5.18,"22,890,175.79","10,526,671.77"
1874,"12,980,829.37","3,165,829.37","1,600,000.00","723,330.00","842,499.37",34,5.18,"23,676,771.24","14,637,377.11"
1875,"10,797,985.99","3,122,985.99","1,600,000.00","729,390.00","793,595.99",33,5.18,"24,420,495.87","14,876,842.70"
1876,"8,313,218.08","2,782,466.38","1,253,624.15","975,410.00","553,432.23",32,5.18,"26,626,717.94","13,668,933.24"
1877,"7,622,017.57","1,681,290.22","860,824.25","265,890.00","554,575.97",32,5.18,"24,772,155.59","8,259,378.78"
1878,"6,628,496.42","2,958,048.02","1,185,551.60","548,480.00","1,224,016.42",29,5.18,"27,054,210.27","16,034,739.07"
1879,"4,802,443.80","952,443.80",,"850,080.00","102,363.80",28,5.18,"26,414,290.78","5,347,317.89"
1880,"4,417,807.19","800,807.19",,"599,290.00","201,517.19",29,5.18,"30,376,603.03","4,340,948.57"
1881,"3,553,783.00","1,217,783.00",,"994,400.00","223,383.00",29,5.18,"31,460,447.31","6,601,256.14"
